LINK_ID|F_WEEKDAY|T_WEEKDAY
25305017|1302,1202,1202,1302,1202,1202,1302|30002,28802,30002,30002,28802,30002,30002
25305025|30002,28202,28202,28802,28802,28802,29502|41302,39002,42202,42202,42202,42202,42202
25305052|35602,34502,34502,34502,34502,34502,34502|35002,33902,33602,34602,34402,34402,34402
25305070|34402,34702,34402,35302,34502,34402,35302|34602,34602,34602,34602,34602,34602,34402
25305100|34602,36602,34402,34402,34402,34402,34402|35002,34502,36602,36602,36602,35002,36902
25305238|35002,36902,36902,35602,36902,35302,35302|35002,34402,34002,34402,34402,34402,34402
25305274|34402,33602,34402,34402,34402,34402,34402|35602,35602,36902,35602,35602,35602,35602
25305314|41302,39802,39702,40302,42202,42202,39802|36202,36602,36602,35502,36202,36202,34402
25305340|41302,39802,41302,42202,40302,42202,39802|35002,34602,34402,34602,34402,34402,34402
25305348|33602,34402,34402,34402,34602,34602,34402|35002,36902,35002,34502,36902,34502,34502
25305362|36902,35002,34502,34502,33902,34502,34502|31902,30802,31002,30002,28802,30002,30002
25305453|32102,31202,31202,32102,32102,32102,32102|1302,1302,1302,1202,1202,1302,1302
25305670|34602,34402,33602,33602,34402,34402,34402|36902,36902,36602,34502,33902,34502,34502
25305690|34402,36602,33902,34402,36602,34502,34402|34502,34502,34502,33902,33902,33902,34502
25305774|36202,35502,34402,34402,34402,34402,34402|34402,33902,36602,33902,33902,34502,36602
25305796|36202,33602,34502,34402,36602,34402,34402|36902,33902,33902,33902,33902,34502,33902
25305832|34402,36602,34502,34502,34502,34502,34502|36602,34502,33902,33902,34502,33902,34502
25305851|36202,36602,34402,34402,34402,34402,34402|34402,36602,36602,34502,34502,34502,36602
25305858|36202,36602,34402,34402,35502,34402,34402|34402,33902,33902,33902,33902,33902,36602
25305863|36202,35502,34402,34402,35502,34402,34402|35002,33902,36602,34402,36602,34402,36602
25305875|36202,36602,34402,34402,35502,34402,34402|36902,36602,34502,34502,36602,33902,36602
25305919|34002,34402,35002,36602,34402,35302,34402|34402,34402,34402,34402,34402,34402,34402
25325032|30802,30802,31002,32102,30802,32102,31002|34402,36602,34002,34502,34402,34402,34402
25692417|35002,34402,36602,35002,36602,34402,34402|28202,30002,31802,28802,31002,30002,28802
25880457|36202,36602,34402,34402,34402,34402,34402|36602,33902,34402,33902,33902,34402,34402
25992559|30802,28802,30802,28802,28802,28802,30802|32102,32102,32102,31202,32102,32102,32102
726159966|34702,34402,34402,34402,34502,34502,34402|36602,36602,34502,34502,34502,34502,34502
726159967|35002,34502,34502,33902,33902,34502,34502|36602,33902,33902,34502,33902,33902,36602
726159971|36202,36602,36602,36602,34402,36602,34402|34502,33902,36602,33902,33902,34502,34502
726159972|36202,36602,36602,34402,34402,35502,36602|36602,36602,34402,36602,33902,34402,36602
726167579|31002,30802,30802,31002,30802,30002,30002|30802,28802,30802,28802,30802,30802,30802
726167580|31002,30802,30802,31002,31002,30002,30002|31002,30002,30802,30002,30802,30002,30802
727335983|36202,36602,36602,36602,36602,34402,34402|34402,36602,36602,33902,33902,33902,36602
732162833|34702,36602,36602,36602,34402,34402,34402|36602,36202,36602,33902,36602,36602,36602
732162835|36202,36602,36602,36602,36602,36602,35502|36202,34502,34502,34502,36602,34502,36602
732162836|35002,36102,34502,34502,34502,34902,34502|34402,36602,36602,36602,36602,36602,36602
732164651|36202,36602,36602,36602,34502,34502,34502|1402,1402,32102,1402,28402,31202,1402
732164652|28202,30802,31002,31002,28802,28802,28802|28402,31202,32102,32102,32102,32102,28402
734728319|34502,36602,34502,34502,34502,34502,34502|31902,30802,30402,28802,28802,28802,28802
1123243495|34902,34502,36602,33902,34502,34502,34502|1302,1202,1202,1202,1202,1202,1202
1123243496|34502,34502,34502,34502,34502,34502,34502|1302,1302,1202,1202,1202,1202,1302
1218113674|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218113675|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218114509|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218114760|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218114761|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218126019|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218126242|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
1218126243|4702,4702,4702,4702,4702,4702,4702|4702,4702,4702,4702,4702,4702,4702
